"state","income","expenditure","south"
"Alabama",36087,13598,1
"Alaska",46573,20340,0
"Arizona",42503,12003,0
"Arkansas",34225,13873,1
"California",49513,20233,0
"Colorado",52636,15897,0
"Connecticut",55915,25801,0
"Delaware",45375,22201,1
"District of Columbia",77348,31629,1
"Florida",42609,12689,1
"Georgia",40924,15833,1
"Hawaii",46005,23878,0
"Idaho",38952,11056,0
"Illinois",46406,20253,0
"Indiana",38351,13622,0
"Iowa",40877,14369,0
"Kansas",40978,14847,0
"Kentucky",35821,14596,1
"Louisiana",35038,14645,1
"Maine",43742,19962,0
"Maryland",52979,20208,1
"Massachusetts",57897,22947,0
"Michigan",40735,18314,0
"Minnesota",48237,17098,0
"Mississippi",31549,12093,1
"Missouri",39695,14241,0
"Montana",41711,13656,0
"Nebraska",41751,16147,0
"Nevada",41354,11673,0
"New Hampshire",52798,22978,0
"New Jersey",54253,26280,0
"New Mexico",36218,17844,0
"New York",50712,30012,0
"North Carolina",41385,12995,1
"North Dakota",43389,17102,0
"Ohio",40552,17257,0
"Oklahoma",35624,12162,1
"Oregon",45612,17161,0
"Pennsylvania",44355,21091,0
"Rhode Island",47150,22110,0
"South Carolina",39236,15060,1
"South Dakota",40550,12828,0
"Tennessee",39437,12197,1
"Texas",40752,12444,1
"Utah",40873,11342,0
"Vermont",46500,28818,0
"Virginia",50666,17104,1
"Washington",53744,18564,0
"West Virginia",34203,14575,1
"Wisconsin",43373,15790,0
"Wyoming",42668,20521,0
